text,label
"Breaking: Govt announces free healthcare for all citizens starting tomorrow!",0
"Scientists confirm that drinking hot water cures all viral diseases immediately",1
"New update: WhatsApp introduces message editing feature globally",0
"Twitter will shut down permanently next week, says leaked internal report",1
"Facebook adds new privacy settings for users",0
"Instagram will start charging ₹500 per month to view posts",1
"The RBI announces no change in repo rate this month",0
"5G towers are causing severe health problems in major cities, experts warn",1
"Google launches new AI tool for education",0
"COVID-19 vaccines contain microchips to track citizens",1

